bus,powerworld_I_mag_pu,python_I_mag_pu,delta_I_pu,abs_delta_I_pu,delta_I_percent_of_PW,abs_delta_I_percent_of_PW,powerworld_I_angle_deg,python_I_angle_deg,delta_I_angle_deg,abs_delta_I_angle_deg
33,12.28173,12.280887223533728,-0.0008427764662712889,0.0008427764662712889,-0.006862033819920231,0.006862033819920231,-100.64279,-100.66354833199912,-0.020758331999104485,0.020758331999104485
34,11.84774,11.847668661654987,-7.133834501260594e-05,7.133834501260594e-05,-0.0006021261861975866,0.0006021261861975866,-95.97106,-96.00335136661649,-0.032291366616505,0.032291366616505
35,25.05462,25.045255828735392,-0.009364171264607535,0.009364171264607535,-0.03737502809704372,0.03737502809704372,-101.31081,-101.30536213627587,0.005447863724128865,0.005447863724128865
37,10.87358,10.864936884714494,-0.008643115285506653,0.008643115285506653,-0.07948730119709105,0.07948730119709105,-93.12988,-93.14313307469506,-0.013253074695057876,0.013253074695057876
38,39.47265,39.46217910044949,-0.010470899550512058,0.010470899550512058,-0.026526973868012556,0.026526973868012556,-101.13605,-101.1227958127773,0.013254187222685232,0.013254187222685232
39,35.00378,34.96586903118704,-0.037910968812958856,0.037910968812958856,-0.10830535677277955,0.10830535677277955,-101.52156,-101.50083288345031,0.02072711654966497,0.02072711654966497
40,27.87728,27.85433830999096,-0.022941690009037785,0.022941690009037785,-0.08229529569971598,0.08229529569971598,-101.66859,-101.66282188541463,0.005768114585350759,0.005768114585350759
41,27.90529,27.900460245110793,-0.0048297548892080044,0.0048297548892080044,-0.01730766779061606,0.01730766779061606,-102.6954,-102.71392413763256,-0.01852413763253935,0.01852413763253935
24,18.70414,18.65699883959003,-0.04714116040996785,0.04714116040996785,-0.25203596856079913,0.25203596856079913,-93.90038,-93.89373442481687,0.006645575183142682,0.006645575183142682
47,30.48151,30.383396686514857,-0.0981133134851433,0.0981133134851433,-0.32187812705191865,0.32187812705191865,-104.22278,-104.16815519900632,0.054624800993678946,0.054624800993678946
44,30.00312,30.00495895033322,0.0018389503332194579,0.0018389503332194579,0.006129197007576072,0.006129197007576072,-101.97611,-102.00548566224501,-0.029375662245001877,0.029375662245001877
14,20.57855,20.578514150458783,-3.584954121649275e-05,3.584954121649275e-05,-0.0001742082956111716,0.0001742082956111716,-102.81084,-102.84417677028571,-0.03333677028570037,0.03333677028570037
54,26.6546,26.569987314542992,-0.08461268545700662,0.08461268545700662,-0.317441212612482,0.317441212612482,-100.58454,-100.54012984559738,0.044410154402612534,0.044410154402612534
53,30.40965,30.311758466316196,-0.09789153368380354,0.09789153368380354,-0.32190943889128465,0.32190943889128465,-104.49188,-104.43858899102267,0.053291008977339516,0.053291008977339516
28,63.6164,63.61843047912992,0.002030479129921048,0.002030479129921048,0.00319175421734183,0.00319175421734183,-100.91412,-100.9139303539067,0.00018964609330396343,0.00018964609330396343
50,12.84404,12.844027255855124,-1.2744144875398433e-05,1.2744144875398433e-05,-9.922224530131044e-05,9.922224530131044e-05,-99.60158,-99.62905805587607,-0.027478055876088092,0.027478055876088092
48,25.32954,25.20374014797489,-0.12579985202511068,0.12579985202511068,-0.4966527304684991,0.4966527304684991,-104.14374,-104.07454994551543,0.06919005448457938,0.06919005448457938
