bus,pre_fault_V_mag,pre_fault_V_ang_deg,P_net,Q_net,P_gen,Q_gen,P_conv,Q_conv,P_load,Q_load,P_shunt,Q_shunt,I_SCC_mag_pu,I_SCC_ang_deg,SCL_pu,SCL_MVA
19,1.0113629667262565,-23.23274157929123,-0.1829999999999987,-0.05000000000000084,1.304512053934559e-15,-8.396061623727746e-16,0.0,0.0,0.183,0.05,0.0,0.0,11.330264741836451,-93.25246935718658,11.330264741836451,1133.0264741836452
20,1.00820064387262,-23.799470093052744,-0.15300000000000064,-0.05000000000000266,-6.38378239159465e-16,-2.6575963651964685e-15,0.0,0.0,0.153,0.05,0.0,-0.07318573475797194,10.484121388241357,-94.61990154779501,10.484121388241357,1048.4121388241358
21,0.9819328077693118,-26.83010157601542,-0.744,-0.26799999999999885,1.1102230246251565e-16,1.1657341758564144e-15,0.0,0.0,0.7440000000000001,0.268,0.0,0.0,16.092790097416078,-99.36839924559959,16.092790097416078,1609.2790097416078
5,1.010076887616059,-25.19114640710677,-0.13999999999999854,-0.0320000000000008,1.4710455076283324e-15,-7.979727989493313e-16,0.0,0.0,0.14,0.032,0.0,0.0,11.953229109564342,-94.91022977016063,11.953229109564342,1195.3229109564343
1,1.0224242970849968,-16.070749924971665,-3.4053569866798642e-15,0.0,-3.4053569866798642e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.49829632884024,-101.41394371752693,32.49829632884024,3249.8296328840242
56,1.0220678700978654,-16.482296069717112,-0.1400000000000009,-0.03700000000000192,-8.881784197001252e-16,-1.915134717478395e-15,0.0,0.0,0.14,0.037000000000000005,0.0,0.0,18.43247066995663,-99.34115990656696,18.43247066995663,1843.2470669956629
29,1.0235014369213289,-16.011470790900475,2.2726297220139833e-15,0.0,2.2726297220139833e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.56506009618732,-101.55450194331915,35.56506009618732,3556.5060096187317
30,1.005682158356925,-20.107184981735315,-0.23399999999999851,-0.06200000000000566,1.4710455076283324e-15,-5.662137425588298e-15,0.0,0.0,0.23399999999999999,0.062,0.0,0.0,21.0488227029227,-100.66524613836621,21.0488227029227,2104.88227029227
3,0.9979754768324786,-21.29179485891953,-0.1230000000000012,-0.0499999999999986,-1.1934897514720433e-15,1.4016565685892601e-15,0.0,0.0,0.12300000000000001,0.05,0.0,0.0,20.41157815675392,-102.34966283903161,20.41157815675392,2041.157815675392
32,1.0085709259799815,-19.565494184206724,-1.1897223304898955e-15,-3.583163724769568e-15,-1.1897223304898955e-15,-3.583163724769568e-15,0.0,0.0,0.0,0.0,0.0,0.0,21.82989772468831,-100.1694537786243,21.82989772468831,2182.989772468831
33,1.0124663766573148,-21.192599524072378,-0.2799999999999995,-0.06000000000000177,4.996003610813204e-16,-1.7694179454963432e-15,0.0,0.0,0.28,0.06,0.0,0.0,12.280887223533728,-100.66354833199912,12.280887223533728,1228.0887223533728
34,1.0047193808309154,-24.483298558129896,-0.22740000000000113,-0.03000000000000071,-1.1379786002407855e-15,-7.112366251504909e-16,0.0,0.0,0.2274,0.03,0.0,0.0,11.847668661654987,-96.00335136661649,11.847668661654987,1184.7668661654986
35,1.0230681221927391,-16.57294857917651,1.135833785018402e-15,-1.2721338392206104e-14,1.135833785018402e-15,-1.2721338392206104e-14,0.0,0.0,0.0,0.0,0.0,0.0,25.045255828735392,-101.30536213627589,25.045255828735392,2504.5255828735394
37,1.006712891459007,-25.940092704427276,-0.26999999999998175,-0.03000000000000274,1.8263168755083825e-14,-2.7408630920433552e-15,0.0,0.0,0.27,0.03,0.0,0.0,10.864936884714494,-93.14313307469506,10.864936884714494,1086.4936884714493
38,1.0225611069046237,-16.07147635471177,1.589379238960379e-15,0.0,1.589379238960379e-15,0.0,0.0,0.0,0.0,0.0,0.002927767408591226,0.0,39.46217910044949,-101.1227958127773,39.46217910044949,3946.217910044949
39,1.0088301220610327,-19.190447931192526,6.720158576685393e-16,-3.58408457423221e-15,6.720158576685393e-16,-3.58408457423221e-15,0.0,0.0,0.0,0.0,0.0,0.0,34.96586903118704,-101.50083288345031,34.96586903118704,3496.586903118704
40,0.9981007107167017,-21.01570470567915,4.43245755972966e-15,0.0,4.43245755972966e-15,0.0,0.0,0.0,0.0,0.0,0.001195446034479822,0.0,27.85433830999096,-101.66282188541463,27.85433830999096,2785.4338309990962
41,1.0006660672908492,-21.33507319893163,2.6107618934884063e-15,0.0,2.6107618934884063e-15,0.0,0.0,0.0,0.0,0.0,0.001401865609518268,0.0,27.900460245110793,-102.71392413763255,27.900460245110793,2790.0460245110794
24,0.9882695180627064,-25.81432588837191,-0.36300000000000593,-0.10400000000000009,-5.9396931817445875e-15,-8.326672684688674e-17,0.0,0.0,0.363,0.10400000000000001,0.0,0.0,18.65699883959003,-93.89373442481688,18.65699883959003,1865.699883959003
47,0.9785511582925805,-23.41499966100031,-1.1407305280455411e-15,3.1288608769249126e-14,-1.1407305280455411e-15,3.1288608769249126e-14,0.0,0.0,0.0,0.0,0.0005745374216374506,0.0,30.383396686514857,-104.16815519900632,30.383396686514857,3038.3396686514857
44,1.02,-23.853297845674614,-0.3979999999999986,0.22355025645374416,0.2000000000000014,0.34655025645374415,0.0,0.0,0.598,0.12300000000000001,0.0,0.0,30.00495895033322,-102.00548566224501,30.00495895033322,3000.495895033322
14,1.00883028106753,-24.448751868709422,-0.12199999999999844,-0.10199999999999915,0.10000000000000156,0.05000000000000085,0.0,0.0,0.222,0.152,0.0,-0.073277174591913,20.578514150458783,-102.84417677028571,20.578514150458783,2057.851415045878
54,0.9877977469682525,-25.768962574517747,-0.12430000000004066,-0.05730000000004011,-4.066191827689636e-14,-4.010680676458378e-14,0.0,0.0,0.1243,0.057300000000000004,0.0,0.0,26.569987314542992,-100.54012984559736,26.569987314542992,2656.998731454299
53,0.9806529839635341,-23.598235379924926,0.40500000000001185,0.17200000000002671,1.0000000000000118,0.4500000000000267,0.0,0.0,0.595,0.278,0.00038467210998263337,0.0,30.311758466316196,-104.43858899102267,30.311758466316196,3031.1758466316196
28,1.03,-13.141112026979629,2.9999999999999987,0.0431795582036942,2.9999999999999987,0.0431795582036942,0.0,0.0,0.0,0.0,0.0,0.0,63.61843047912992,-100.9139303539067,63.61843047912992,6361.843047912992
50,1.02,-22.22624981322447,0.23900000000000007,0.09861056067157016,0.38000000000000006,0.12861056067157017,0.0,0.0,0.141,0.03,0.0,0.0,12.844027255855124,-99.62905805587607,12.844027255855124,1284.4027255855124
48,0.9945741771282052,-26.044135258658333,-0.39800000000000285,-0.26499999999999624,0.1599999999999971,-0.13999999999999624,0.0,0.0,0.5579999999999999,0.125,0.0,0.0,25.20374014797489,-104.07454994551541,25.20374014797489,2520.374014797489
